date,page,keyword,clicks,impressions,ctr,avg_position,traffic_source,device,country
2026-01-01,/classroom-display-ideas,classroom display ideas,75,1515,0.0495,12.79,organic_google,desktop,UK
2026-01-01,/eyfs-resources,eyfs resources,190,2760,0.0688,9.05,organic_google,mobile,UK
2026-01-01,/home-learning-resources,home learning resources,564,4477,0.126,4.46,organic_google,desktop,CA
2026-01-01,/lesson-plans-english,english lesson plans,99,1729,0.0573,10.1,organic_google,desktop,CA
2026-01-01,/maths-activities-ks2,maths activities ks2,403,3655,0.1103,4.98,organic_google,desktop,AU
2026-01-01,/phonics-worksheets,phonics worksheets,529,4535,0.1166,4.54,organic_google,desktop,UK
2026-01-01,/reading-comprehension-year-3,reading comprehension year 3,175,2525,0.0693,8.86,organic_google,desktop,UK
2026-01-01,/science-experiments-kids,science experiments for kids,89,2225,0.04,10.91,organic_google,mobile,UK
2026-01-01,/spelling-activities,spelling activities,83,1793,0.0463,13.01,organic_google,desktop,UK
2026-01-01,/times-tables-games,times tables games,159,2247,0.0708,8.82,organic_google,desktop,UK
2026-01-02,/classroom-display-ideas,classroom display ideas,25,1394,0.0179,14.61,organic_google,desktop,US
2026-01-02,/eyfs-resources,eyfs resources,248,2950,0.0841,6.83,organic_google,mobile,AU
2026-01-02,/home-learning-resources,home learning resources,599,5289,0.1133,4.44,organic_google,mobile,UK
2026-01-02,/lesson-plans-english,english lesson plans,64,1967,0.0325,10.99,organic_google,desktop,UK
2026-01-02,/maths-activities-ks2,maths activities ks2,286,3012,0.095,7.03,organic_google,desktop,US
2026-01-02,/phonics-worksheets,phonics worksheets,287,4155,0.0691,7.7,organic_google,desktop,UK
2026-01-02,/reading-comprehension-year-3,reading comprehension year 3,231,2718,0.085,8.35,organic_bing,desktop,UK
2026-01-02,/science-experiments-kids,science experiments for kids,130,2112,0.0616,9.97,organic_google,mobile,US
2026-01-02,/spelling-activities,spelling activities,74,1615,0.0458,12.3,organic_google,desktop,UK
2026-01-02,/times-tables-games,times tables games,129,2410,0.0535,10.02,organic_bing,desktop,UK
2026-01-03,/classroom-display-ideas,classroom display ideas,43,1140,0.0377,12.87,organic_google,desktop,UK
2026-01-03,/eyfs-resources,eyfs resources,227,2377,0.0955,6.71,organic_google,mobile,UK
2026-01-03,/home-learning-resources,home learning resources,466,4637,0.1005,5.31,organic_google,desktop,UK
2026-01-03,/lesson-plans-english,english lesson plans,108,1859,0.0581,11.62,organic_bing,mobile,UK
2026-01-03,/maths-activities-ks2,maths activities ks2,335,2961,0.1131,5.47,organic_google,desktop,UK
2026-01-03,/phonics-worksheets,phonics worksheets,356,3456,0.103,6.37,organic_google,mobile,UK
2026-01-03,/reading-comprehension-year-3,reading comprehension year 3,129,2110,0.0611,7.94,organic_google,mobile,AU
2026-01-03,/science-experiments-kids,science experiments for kids,134,1825,0.0734,9.23,organic_google,mobile,UK
2026-01-03,/spelling-activities,spelling activities,65,1205,0.0539,11.68,organic_google,mobile,UK
2026-01-03,/times-tables-games,times tables games,160,2187,0.0732,9.49,organic_google,desktop,AU
2026-01-04,/classroom-display-ideas,classroom display ideas,50,969,0.0516,13.38,organic_google,desktop,UK
2026-01-04,/eyfs-resources,eyfs resources,231,2682,0.0861,7.24,organic_bing,mobile,UK
2026-01-04,/home-learning-resources,home learning resources,453,4003,0.1132,4.79,organic_google,mobile,UK
2026-01-04,/lesson-plans-english,english lesson plans,93,1658,0.0561,12.91,organic_google,mobile,CA
2026-01-04,/maths-activities-ks2,maths activities ks2,326,3112,0.1048,6.24,organic_google,desktop,UK
2026-01-04,/phonics-worksheets,phonics worksheets,394,3703,0.1064,5.57,organic_google,mobile,UK
2026-01-04,/reading-comprehension-year-3,reading comprehension year 3,170,2482,0.0685,8.89,organic_google,desktop,UK
